date,type,speed,miss
20180629,620,4.5,40
20180701,619,4.6,33
20180701,642,4.7,27
20180703,698,5.0,31
20180703,731,5.1,28
20180703,766,5.3,19
20180704,714,5.1,43
20180704,715,5.1,26
20180705,683,5.0,42
20180709,705,5.1,31
20180709,706,5.1,32
20180709,703,5.0,32
20180710,657,5.0,47
20180710,792,5.3,13
20180711,677,5.0,38
20180711,713,5.0,24
20180711,711,5.2,35
20180711,640,4.6,26
20180711,667,4.7,18
20180712,777,5.2,31
20180712,841,5.4,24
20180712,770,5.5,20
20180713,747,5.1,52
20180713,744,5.1,26
20180713,738,5.3,26
20180713,728,5.2,22
20180714,668,4.8,35
20180714,720,5.2,37
20180714,770,5.2,32
20180714,791,5.1,4
20180714,805,5.4,25
20180714,810,5.4,21
20180714,856,5.6,17
20180714,722,5.1,31
20180715,799,5.3,26
20180715,744,5.3,23
20180715,771,5.5,28
20180715,797,5.3,22
20180716,761,5.3,24
20180716,753,5.4,30
20180716,778,5.3,35
20180716,721,5.2,36
20180716,795,5.4,24
20180716,778,5.4,28
20180716,808,5.6,30
20180716,843,5.7,25
20180716,820,5.6,33
20180716,810,5.5,21
20180717,788,5.6,35
20180717,800,5.5,30
20180717,789,5.4,21
20180717,817,5.5,21
20180717,832,5.6,19
20180717,778,5.3,34
20180717,801,5.6,38
20180718,721,5.3,39
20180718,723,5.2,28
20180718,726,5.1,32
20180718,724,5.2,28
20180719,758,5.5,32
20180719,773,5.6,42
20180719,788,5.4,24
20180719,798,5.6,37
20180719,772,5.4,32
20180719,737,5.1,34
20180719,750,5.4,38
20180720,820,5.5,27
20180720,746,5.3,25
20180720,809,5.3,30
20180720,736,5.4,29
20180720,729,5.2,22
20180720,736,5.4,29
20180720,732,5.3,27
20180720,770,5.3,23
20180720,765,5.4,24
20180720,809,5.5,28
20180720,807,5.4,16
20180720,809,5.4,18
20180721,906,5.8,18
20180721,818,5.6,20
20180721,867,5.5,12
20180722,831,5.4,14
20180722,814,5.2,9
20180722,813,5.3,13
20180723,859,5.6,24
20180723,832,5.5,27
20180724,798,5.5,19
20180724,866,5.7,20
20180724,861,5.7,25
20180724,842,5.5,13
20180724,868,5.6,19
20180724,853,5.5,17
20180724,907,5.6,5
20180724,865,5.5,12
20180725,862,5.5,14
20180725,875,5.7,17
20180725,891,5.7,13
20180725,880,5.4,7
20180726,860,5.6,19
20180726,854,5.5,13
20180727,884,5.6,11
20180727,877,5.5,11
20180727,912,5.8,12
20180728,836,5.6,31
20180728,821,5.7,20
20180728,851,5.7,24
20180728,854,5.7,16
20180729,838,5.5,21
20180729,857,5.7,21
20180729,894,5.8,21
20180729,830,5.6,20
20180730,877,5.5,11
20180730,859,5.5,15
20180730,849,5.5,11
20180731,884,5.7,16
20180731,936,5.8,15
20180731,862,5.6,23
20180731,955,6.0,22
20180731,876,5.8,22
20180731,933,5.9,21
20180731,886,5.6,14
20180801,856,5.7,21
20180801,931,5.9,13
20180801,880,5.7,13
20180801,958,5.8,15
20180801,889,5.8,11
20180801,849,5.6,21
20180801,895,5.8,20
20180801,934,5.8,17
20180802,852,5.7,26
20180802,884,5.8,17
20180802,904,5.8,20
20180802,936,6.0,17
20180803,881,5.7,17
20180803,881,5.8,12
20180803,868,5.5,11
20180803,847,5.4,14
20180804,940,5.9,16
20180804,820,5.5,20
20180805,891,5.7,12
20180805,861,5.7,20
20180806,738,5.3,24
20180807,869,5.7,26
20180807,887,5.8,23
20180807,966,5.9,8
20180807,888,5.6,14
20180808,924,5.7,11
20180808,861,5.7,20
20180809,851,5.5,15
20180810,854,5.7,17
20180810,905,5.8,10
20180810,930,6.0,18
20180810,928,5.9,15
20180810,897,5.7,19
20180810,893,5.9,20
20180811,860,5.8,22
20180812,860,5.8,22
20180824,829,5.6,31
20180826,801,5.6,20
20180829,787,5.6,34
20180829,878,6.0,33
20180829,772,5.5,21
20180830,880,5.7,15
20180911,808,5.7,39
20180911,923,5.8,15
20180928,791,5.4,29
20181006,818,5.6,24
20181006,800,5.5,21
20181017,785,5.2,13
20181020,788,5.7,33
20181020,815,5.8,39
20181020,831,5.9,34
20181022,792,5.9,44
20181022,839,5.9,35
20181024,767,5.5,41
20181027,794,5.8,40
20181027,824,5.8,25
20181030,762,5.4,23
20181030,788,5.7,39
20181106,748,5.5,33
20181107,789,5.6,29
20181113,829,5.8,28
20181115,814,5.9,42
20181120,818,5.6,32
20181121,873,6.0,30
20181122,835,5.9,32
20181122,774,5.6,36
20181122,831,5.7,32
20181202,729,5.4,60
20181202,828,5.7,25
20181207,827,5.6,19
20181208,810,5.7,42
20181209,823,5.6,28
20181210,878,6.0,28
20181213,913,6.0,21
20181215,895,5.8,24
20181220,827,5.8,31
20190106,850,5.8,34
20190218,860,6.0,40
20190220,990,6.3,26
